word,pos
1루,명사
1루수,명사
1루타,명사
2루,명사
2루수,명사
2루타,명사
3루,명사
3루수,명사
3루타,명사
가가대소,명사
가감,명사
가갸날,명사
가건물,명사
가게,명사
가격,명사
가격대,명사
가격표,명사
가격하다,동사
가결,명사
가결되다,동사
가결하다,동사
가계,명사
가계도,명사
가계부,명사
가공,명사
가공되다,동사
가공육,명사
가공품,명사
가공하다,동사
가관,명사
가구,명사
가구점,명사
가금류,명사
가급적,명사
가까스로,부사
가까이,명사
가까이,부사
가까이하다,동사
가깝다,형용사
가꾸다,동사
가끔,부사:정도
가끔,부사:정도
가끔가다,부사
가나다순,명사
가난,명사
가난뱅이,명사
가난하다,형용사
가냘프다,형용사
가녀리다,형용사
가누다,동사
가느다랗다,형용사
가늘다,형용사
가늠쇠,명사
가늠자,명사
가늠하다,동사
가능,명사
가능성,명사
가능하다,형용사
가다,동사
가다듬다,동사
가다랑어,명사
가닥,명사
가닥가닥,부사
가담,명사
가담자,명사
가담하다,동사
가담항설,명사
가덕도,명사
가도,명사
가독성,명사
가동,명사
가동되다,동사
가동률,명사
가동하다,동사
가두다,동사
가득,부사
가득하다,형용사
가득히,부사
가뜩이나,부사
가라사대,특수:파생형
가라앉다,동사
가라앉히다,동사
가락,명사
가락국수,명사
가랑이,명사
가랑잎,명사
가래,명사
가래떡,명사
가량,명사
가려움증,명사
가련하다,형용사
가렴주구,명사
가렵다,형용사
가령,부사
가로,명사
가로등,명사
가로막다,동사
가로수,명사
가로쓰기,명사
가로지르다,동사
가로채기,명사
가로채다,동사
가로축,명사
가루,명사
가루약,명사
가르다,동사
가르마,명사
가르치다,동사
가르침,명사
가리다,동사
가리비,명사
가리우다,동사
가리키다,동사
가마,명사
가마솥,명사
가만,부사
가만두다,동사
가만있다,동사
가만히,부사
가망,명사
가맹,명사
가맹국,명사
가맹점,명사
가면,명사
가명,명사
가무,명사
가무극,명사
가무극,명사
가무러지다,동사
가무스름하다,형용사
가무잡잡하다,형용사
가문,명사
가문비나무,명사
가물가물하다,형용사
가물거리다,동사
가물다,동사
가뭄,명사
가미,명사
가미하다,동사
가발,명사
가방,명사
가방끈,명사
가변,명사
가변저항,명사
가변적,명사
가볍다,형용사
가보,명사
가부장제,명사
가부키,명사
가불하다,동사
가뿐하다,형용사
가뿐히,부사
가쁘다,형용사
가사,명사
가산,명사
가산기,명사
가산명사,명사
가산점,명사
가상,명사
가상하다,동사
가상현실,명사
가상화,명사
가설,명사
가성,명사
가세,명사
가세하다,동사
가소롭다,형용사
가소성,명사
가속,명사
가속기,명사
가속도,명사
가속되다,동사
가속하다,동사
가속화,명사
가속화되다,동사
가속화하다,동사
가솔린,명사
가수,명사
가스,명사
가스등,명사
가스레인지,명사
가스레인지,명사
가스실,명사
가스실,명사
가스전,명사
가스총,명사
가스통,명사
가슴,명사
가슴속,명사
가슴앓이,명사
가습기,명사
가시,명사
가시,명사
가시광선,명사
가시나무,명사
가시밭,명사
